"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:24.5","4:24.5","0.62","7:06","","131","153","","","","","","","163","","","1.39","","","67","","6:55","167","4:24.5","7:06"
"2","4:21.3","8:45.8","0.62","7:01","","163","174","","6","","","","","163","","","1.41","","","67","","6:55","167","4:21.3","7:01"
"3","4:15.6","13:01","0.62","6:51","","173","175","","","","","","","163","","","1.44","","","64","","6:37","167","4:15","6:50"
"4","4:21.7","17:23","0.62","7:01","","175","177","10","","","","","","163","","","1.41","","","66","","6:49","168","4:21","7:00"
"5","4:27.4","21:51","0.62","7:10","","177","178","","","","","","","163","","","1.38","","","69","","6:53","166","4:27.4","7:10"
"6","4:23.9","26:14","0.62","7:05","","177","179","19","15","","","","","163","","","1.40","","","68","","7:00","166","4:23.9","7:05"
"7","4:27.1","30:42","0.62","7:10","","179","181","16","","","","","","162","","","1.38","","","70","","7:00","165","4:27","7:10"
"8","4:26.3","35:08","0.62","7:09","","180","181","","19","","","","","162","","","1.39","","","70","","6:48","167","4:26.3","7:09"
"9","4:30.5","39:38","0.62","7:15","","180","183","20","12","","","","","162","","","1.37","","","71","","7:05","165","4:29","7:13"
"10","4:22.8","44:01","0.62","7:03","","181","182","","6","","","","","162","","","1.41","","","70","","6:58","167","4:22.8","7:03"
"11","4:31.1","48:32","0.62","7:16","","182","184","","11","","","","","162","","","1.36","","","73","","6:54","166","4:31","7:16"
"12","4:30.0","53:02","0.62","7:14","","181","184","","","","","","","162","","","1.37","","","72","","7:06","165","4:29","7:13"
"13","4:29.9","57:32","0.62","7:14","","183","186","9","","","","","","162","","","1.37","","","73","","7:03","167","4:29.9","7:14"
"14","2:04.1","59:36","0.30","6:54","","187","189","","","","","","","165","","","1.41","","","35","","6:45","173","2:04","6:54"
"Summary","59:36","59:36","8.38","7:07","","174","189","73","71","","","","","163","","","1.39","","","935","","6:37","173","59:32","7:06"
