"Laps,""Time"",""Cumulative Time"",""Distance"",""Avg Pace"",""Avg GAP"",""Avg HR"",""Max HR"",""Total Ascent"",""Total Descent"",""Avg Power"",""Avg W/kg"",""Max Power"",""Max W/kg"",""Avg Run Cadence"",""Avg Ground Contact Time"",""Avg GCT Balance"",""Avg Stride Length"",""Avg Vertical Oscillation"",""Avg Vertical Ratio"",""Calories"",""Avg Temperature"",""Best Pace"",""Max Run Cadence"",""Moving Time"",""Avg Moving Pace"""
"1,""4:57.8"",""4:57.8"",""0.62"",""7:59"","""",""149"",""165"",""29"","""","""","""","""","""",""159"","""","""",""1.27"","""","""",""68"","""",""7:08"",""168"",""4:57.8"",""7:59"""
"2,""4:37.0"",""9:34.9"",""0.62"",""7:26"","""",""162"",""168"",""48"",""32"","""","""","""","""",""162"","""","""",""1.34"","""","""",""67"","""",""7:18"",""166"",""4:37"",""7:26"""
"3,""4:44.5"",""14:19"",""0.62"",""7:38"","""",""166"",""174"",""24"",""34"","""","""","""","""",""161"","""","""",""1.31"","""","""",""72"","""",""7:10"",""167"",""4:44.5"",""7:38"""
"4,""4:54.6"",""19:14"",""0.62"",""7:54"","""",""164"",""169"",""22"",""41"","""","""","""","""",""161"","""","""",""1.26"","""","""",""74"","""",""7:36"",""166"",""4:54"",""7:53"""
"5,""4:58.9"",""24:13"",""0.62"",""8:01"","""",""164"",""168"",""38"",""16"","""","""","""","""",""160"","""","""",""1.25"","""","""",""75"","""",""7:50"",""166"",""4:58.9"",""8:01"""
"6,""4:56.9"",""29:10"",""0.62"",""7:58"","""",""165"",""168"",""28"",""30"","""","""","""","""",""161"","""","""",""1.26"","""","""",""75"","""",""7:40"",""164"",""4:56.9"",""7:58"""
"7,""4:47.8"",""33:58"",""0.62"",""7:43"","""",""167"",""172"","""","""","""","""","""","""",""160"","""","""",""1.30"","""","""",""74"","""",""7:25"",""166"",""4:47.8"",""7:43"""
"8,""5:09.2"",""39:07"",""0.62"",""8:18"","""",""168"",""173"",""14"",""16"","""","""","""","""",""161"","""","""",""1.20"","""","""",""76"","""",""7:51"",""164"",""5:09"",""8:17"""
"9,""4:43.4"",""43:50"",""0.62"",""7:36"","""",""168"",""174"",""22"",""25"","""","""","""","""",""162"","""","""",""1.31"","""","""",""72"","""",""6:41"",""171"",""4:43"",""7:35"""
"10,""4:51.2"",""48:41"",""0.62"",""7:49"","""",""169"",""174"",""40"",""43"","""","""","""","""",""161"","""","""",""1.28"","""","""",""75"","""",""7:23"",""164"",""4:51.2"",""7:49"""
